(96.36364819187061, 11.59000015258789)
(190.9091028885674, 13.329999923706055)
(290.90910573771777, 16.209999084472656)
(389.091000538582, 19.3700008392334)
(486.36379826425576, 23.1299991607666)
(586.3638011134061, 30.06999969482422)
(685.4546217286854, 35.060001373291016)
(785.4546245778358, 40.7599983215332)
(877.2728267961162, 45.880001068115234)
(974.5456245217899, 48.810001373291016)
(1074.5456273709403, 51.349998474121094)
(1171.8184250966142, 52.90999984741211)
(1271.8184279457646, 53.689998626708984)
(1371.818430794915, 53.9900016784668)
(1464.5456265136868, 54.439998626708984)
(1562.727521314551, 54.560001373291016)
(1661.8183419298302, 54.47999954223633)
(1761.8183447789806, 54.599998474121094)
(1856.3637994756775, 55.099998474121094)
(1954.5456942765418, 55.84000015258789)
(2052.7275890774063, 57.029998779296875)
(2152.7275919265567, 57.88999938964844)
(2252.727594775707, 59.540000915527344)
(2348.1821184485493, 60.97999954223633)
(2441.8185459634938, 62.91999816894531)
(2540.909366578773, 64.2699966430664)
(2640.9093694279236, 65.66999816894531)
(2740.000190043203, 67.1500015258789)
(2838.1820848440675, 68.6500015258789)
(2937.272905459347, 69.95999908447266)
(3035.4548002602114, 71.05000305175781)
(3135.454803109362, 71.9000015258789)
(3235.454805958512, 73.16999816894531)
(3322.727604512786, 74.33999633789062)
(3420.0004022384596, 74.76000213623047)
(3513.636829753404, 75.8499984741211)
(3607.2732572683485, 76.55000305175781)
(3705.455152069213, 77.06999969482422)
(3805.4551549183634, 78.33999633789062)
(3904.545975533643, 79.04000091552734)
(4004.5459783827932, 79.87000274658203)
(4104.545981231943, 80.08999633789062)
(4202.727876032807, 80.69000244140625)
(4301.818696648086, 80.9800033569336)
(4400.00059144895, 81.7300033569336)
(4500.000594298101, 82.2699966430664)
(4600.000597147251, 82.55000305175781)
(4700.000599996401, 83.45999908447266)
(4800.000602845552, 84.0)
(4897.2734005712255, 83.97000122070312)
(4991.818855267922, 84.55000305175781)
(5090.000750068786, 84.80999755859375)
(5182.7279457875575, 85.30999755859375)
(5282.727948636708, 85.41000366210938)
(5381.818769251987, 85.62999725341797)
(5477.27329292483, 85.9000015258789)
(5575.455187725694, 86.0)
(5670.00064242239, 86.2699966430664)
(5770.000645271541, 86.33999633789062)
(5870.000648120691, 86.56999969482422)
(5970.000650969841, 86.56999969482422)
(6070.000653818992, 86.80000305175781)
(6169.091474434271, 87.23999786376953)
(6264.5459981071135, 87.12000274658203)
(6363.6368187223925, 87.23999786376953)
(6462.7276393376715, 87.4000015258789)
(6562.727642186822, 87.44000244140625)
(6661.818462802101, 87.69000244140625)
(6757.2729864749435, 87.88999938964844)
(6857.272989324094, 87.8499984741211)
(6956.363809939373, 87.94000244140625)
(7056.363812788523, 88.22000122070312)
(7156.363815637674, 88.33000183105469)
(7256.363818486824, 88.33999633789062)
(7349.0910142055955, 88.44999694824219)
(7448.181834820874, 88.58999633789062)
(7548.181837670025, 88.72000122070312)
(7645.4546353956985, 88.80000305175781)
(7744.545456010977, 88.77999877929688)
(7844.545458860128, 88.87000274658203)
(7942.727353660992, 88.95999908447266)
(8041.818174276271, 88.94999694824219)
(8140.000069077135, 89.06999969482422)
(8226.363787296752, 89.08000183105469)
(8326.363790145902, 89.1500015258789)
(8426.363792995053, 89.26000213623047)
(8525.454613610333, 89.3499984741211)
(8623.636508411197, 89.4800033569336)
(8723.636511260347, 89.52999877929688)
(8820.909308986022, 89.55999755859375)
(8913.636504704793, 89.5999984741211)
(9007.272932219737, 89.61000061035156)
(9104.545729945412, 89.55999755859375)
(9201.818527671086, 89.68000030517578)
(9301.818530520237, 89.69000244140625)
