(36.363661216619654, 11.630000114440918)
(54.545427873675514, 13.609999656677246)
(67.27273525345042, 15.920000076293945)
(79.09096564442241, 19.520000457763672)
(92.72736804744537, 25.100000381469727)
(102.72734430949262, 32.33000183105469)
(119.09089020795835, 39.0099983215332)
(135.45443610642408, 42.619998931884766)
(150.00009027912836, 46.20000076293945)
(164.54550956391864, 49.08000183105469)
(178.18188302071798, 51.41999816894531)
(192.727423115633, 52.650001525878906)
(200.90914096417575, 52.900001525878906)
(220.90919191962513, 53.150001525878906)
(236.3636582275731, 53.970001220703125)
(249.090965607348, 53.900001525878906)
(264.5455740900063, 54.040000915527344)
(278.1819018245818, 54.38999938964844)
(291.8182295591573, 55.290000915527344)
(304.54551763052564, 55.2400016784668)
(321.8183794500544, 56.130001068115234)
(334.5456868298293, 56.939998626708984)
(349.0909597864554, 58.84000015258789)
(360.9092940575231, 60.40999984741211)
(382.72742034055324, 61.310001373291016)
(396.36374807512874, 62.709999084472656)
(406.3639077419147, 64.44999694824219)
(422.7274802294988, 65.72000122070312)
(433.6363795689347, 67.44999694824219)
(454.5454048693143, 67.88999938964844)
(469.0910599806425, 69.55000305175781)
(480.9090120970081, 70.54000091552734)
(500.00001855370596, 71.79000091552734)
(510.9091244763607, 72.70999908447266)
(522.7274981489225, 73.94999694824219)
(537.2729174337128, 74.47000122070312)
(556.3639265108143, 75.41000366210938)
(571.8180971562009, 76.43000030517578)
(585.4544248907764, 76.91999816894531)
(598.1817322705513, 77.76000213623047)
(608.1817583728206, 78.26000213623047)
(628.1816834322417, 78.91999816894531)
(640.9089908120166, 79.79000091552734)
(654.5452906599354, 80.22000122070312)
(669.9998991425937, 80.8499984741211)
(683.6362268771692, 81.0199966430664)
(697.2726246626393, 82.06999969482422)
(709.9998426831129, 81.94000244140625)
(726.3633885815786, 82.62999725341797)
(742.7269344800444, 82.75)
(757.2723537648347, 83.19999694824219)
(767.2723300268821, 83.66000366210938)
(784.5451474689588, 84.19999694824219)
(800.9086713506134, 84.5)
(811.8177772732681, 84.52999877929688)
(830.9086285382427, 85.08999633789062)
(845.454101526333, 85.08999633789062)
(858.1814150860746, 85.29000091552734)
(869.9996454770466, 85.77999877929688)
(884.5450647618369, 85.88999938964844)
(901.8178822039137, 86.02999877929688)
(917.2724906865719, 85.91000366210938)
(929.0907210775439, 86.37000274658203)
(943.6360979142656, 86.41999816894531)
(956.3632134254913, 86.73999786376953)
(969.9998332541821, 86.7699966430664)
(987.2724540130888, 86.87999725341797)
(1003.6359999115546, 86.94000244140625)
(1016.3633072913294, 87.06999969482422)
(1029.0906146711043, 87.31999969482422)
(1042.7269424056797, 87.45999908447266)
(1055.4542497854545, 87.4800033569336)
(1071.8177956839202, 87.5999984741211)
(1087.2724041665786, 87.69000244140625)
(1099.0906637367946, 87.76000213623047)
(1113.6358868825644, 87.87999725341797)
(1128.1813061673547, 88.04000091552734)
(1142.7270776881346, 88.08999633789062)
(1154.5451993261065, 88.2300033569336)
(1172.7268598513003, 88.16999816894531)
(1188.1814683339587, 88.16999816894531)
(1201.8179355082746, 88.38999938964844)
(1213.6361011279537, 88.52999877929688)
(1229.0907827646245, 88.55999755859375)
(1244.545154872778, 88.55000305175781)
(1259.0905741575684, 88.63999938964844)
(1272.7269018921438, 88.7300033569336)
(1286.363299677614, 88.87000274658203)
(1301.8180946701382, 88.9800033569336)
(1314.545126180746, 88.76000213623047)
(1329.0904881681847, 88.94999694824219)
(1344.5450833683753, 89.02999877929688)
(1358.1815236982204, 89.02999877929688)
(1371.8178146508867, 89.13999938964844)
(1385.454421071562, 89.20999908447266)
(1399.9996128028909, 89.22000122070312)
(1416.3632320320298, 89.1500015258789)
(1430.9086513168202, 89.27999877929688)
(1441.8180073476026, 89.29000091552734)
(1457.272615830261, 89.37999725341797)
(1470.9089435648364, 89.41999816894531)
(1488.1813806956843, 89.33999633789062)
(1501.8179080086377, 89.6500015258789)
(1514.5453575161764, 89.5)
(1529.9998379317865, 89.51000213623047)
(1542.7271453115613, 89.58999633789062)
(1556.3634487148206, 89.51000213623047)
(1569.090752539255, 89.5999984741211)
(1588.1817616163564, 89.72000122070312)
(1604.5452596960438, 89.69999694824219)
(1613.6363944103514, 89.73999786376953)
(1629.999940308817, 89.79000091552734)
(1641.818170699789, 89.80999755859375)
(1660.9091797768906, 89.86000061035156)
(1673.636089743613, 89.94000244140625)
(1689.9998409698524, 89.83999633789062)
(1705.4544494525107, 90.0999984741211)
(1717.2726798434828, 90.04000091552734)
(1729.9999148430165, 90.12999725341797)
(1744.5453341278069, 90.19000244140625)
(1760.9089656045585, 90.13999938964844)
(1774.5452933391339, 90.18000030517578)
(1789.9999478121983, 90.22000122070312)
(1803.6362540465577, 90.30999755859375)
(1815.4544844375298, 90.26000213623047)
(1829.9999037223201, 90.30000305175781)
(1844.545366223196, 90.3499984741211)
(1859.0907622592415, 90.38999938964844)
(1876.3636673854091, 90.41999816894531)
(1889.9999591230476, 90.41999816894531)
(1900.9090650457024, 90.52999877929688)
(1916.3635663507414, 90.51000213623047)
(1934.5452804467254, 90.55000305175781)
(1947.272723858686, 90.51000213623047)
(1959.0909542496581, 90.6500015258789)
(1975.4544740963204, 90.55999755859375)
(1990.9090722285566, 90.52999877929688)
(2005.4544312839496, 90.54000091552734)
(2017.2726616749217, 90.58999633789062)
(2031.818007503703, 90.61000061035156)
(2049.999774160759, 90.66000366210938)
(2062.7271650116477, 90.56999969482422)
(2075.4544723914228, 90.66999816894531)
(2091.817974952377, 90.68000030517578)
(2105.4544492033733, 90.72000122070312)
(2119.0907769379487, 90.70999908447266)
(2133.636066151021, 90.69999694824219)
(2147.2723938855966, 90.72000122070312)
(2159.9997012653716, 90.70999908447266)
(2176.3632471638375, 90.79000091552734)
(2190.908924493029, 90.7699966430664)
(2205.454057104567, 90.75)
(2219.9996019264067, 90.83000183105469)
(2231.817832317379, 90.79000091552734)
(2244.5450225639024, 90.83000183105469)
(2261.817693125051, 90.81999969482422)
(2277.2724460017703, 90.88999938964844)
(2291.8178652865604, 90.8499984741211)
(2305.454193021136, 90.91999816894531)
(2317.2725058907154, 90.88999938964844)
(2330.9085231726194, 90.94000244140625)
(2348.181340614696, 90.91000366210938)
(2360.9084803602486, 90.91999816894531)
(2376.3632541664106, 90.91999816894531)
(2392.7269060643453, 90.95999908447266)
(2405.4542134441203, 90.97000122070312)
(2419.090213295794, 90.9800033569336)
(2431.817520675569, 91.0)
(2445.4542733330663, 91.05000305175781)
(2460.9088818157247, 91.02999877929688)
(2477.2719462313394, 91.05000305175781)
(2490.9082739659148, 91.08000183105469)
(2504.544671751385, 91.05999755859375)
(2517.27197913116, 91.08999633789062)
(2529.9992865109352, 91.12000274658203)
(2544.5447057957253, 91.13999938964844)
(2561.817523237802, 91.13999938964844)
(2576.362942522592, 91.12000274658203)
(2588.1811729135643, 91.16999816894531)
(2603.6356212920373, 91.16000366210938)
(2618.181117095119, 91.11000061035156)
(2631.8175910399573, 91.19000244140625)
(2644.5448984197324, 91.16999816894531)
(2660.908328219042, 91.19000244140625)
(2674.544739177276, 91.19000244140625)
(2689.0902417298253, 91.19000244140625)
(2703.635756239872, 91.19000244140625)
(2716.363063619647, 91.2300033569336)
(2730.908325453317, 91.30000305175781)
(2744.5447937530034, 91.26000213623047)
(2758.181154818292, 91.29000091552734)
(2772.726707304718, 91.22000122070312)
(2788.181315787376, 91.37999725341797)
(2801.8176435219516, 91.38999938964844)
(2812.7267494446064, 91.31999969482422)
(2829.999557073666, 91.33000183105469)
(2843.6358848082414, 91.27999877929688)
(2857.2721955451293, 91.30000305175781)
(2871.8176148299194, 91.3499984741211)
(2886.3630341147095, 91.37000274658203)
(2902.726742628381, 91.37000274658203)
(2915.454050008156, 91.31999969482422)
(2927.272211209665, 91.38999938964844)
(2940.908682802151, 91.4000015258789)
