(27.27270255425291, 10.680000305175781)
(40.9091852015219, 21.299999237060547)
(50.00002360853556, 37.75)
(59.09085120795265, 50.61000061035156)
(69.99994561344515, 62.29999923706055)
(75.45448139529788, 65.7699966430664)
(83.63631963076068, 71.5)
(89.9999791255454, 68.80999755859375)
(97.27283199599246, 78.5199966430664)
(107.27277665727621, 79.05000305175781)
(117.27282872612705, 81.29000091552734)
(128.18192313161956, 79.66000366210938)
(138.1819699797341, 80.36000061035156)
(144.54564038344938, 85.44999694824219)
(157.27284467188332, 87.13999938964844)
(166.36363078141605, 87.4000015258789)
(171.8183429377023, 87.48999786376953)
(179.99995825109082, 87.76000213623047)
(190.90910281214832, 87.37000274658203)
(200.0001352422775, 87.23999786376953)
(205.45466959178333, 89.19000244140625)
(215.45471643989788, 89.08999633789062)
(227.2728377965304, 89.81999969482422)
(235.45471317003248, 89.41000366210938)
(245.4546039354671, 89.37999725341797)
(253.63656697779405, 89.25)
(264.54562070686944, 90.41000366210938)
(271.8182775006977, 90.22000122070312)
(280.00017993967094, 90.86000061035156)
(290.0002267877855, 90.44999694824219)
(300.00017545829047, 90.52999877929688)
(306.3639432883088, 91.12000274658203)
(318.18199574403246, 91.31999969482422)
(325.4546772066981, 91.48999786376953)
(334.5455942993674, 91.91000366210938)
(344.5456128484449, 91.95999908447266)
(355.4547405157874, 92.2300033569336)
(362.7273396306365, 92.16999816894531)
(370.9092778431317, 92.2300033569336)
(382.72738888205674, 92.66999816894531)
(390.90927457326626, 92.4000015258789)
(398.18179004954914, 92.02999877929688)
(407.272961386896, 91.9000015258789)
(414.5456859650477, 92.72000122070312)
(425.4547803705402, 93.12999725341797)
(433.6365606571969, 93.16000366210938)
(442.72757790227104, 92.76000213623047)
(452.72759414283456, 93.33000183105469)
(460.0003754340018, 92.58999633789062)
(471.81810781789125, 93.33000183105469)
(480.00029669708744, 93.52999877929688)
(486.36393454094696, 93.7300033569336)
(495.45460647016654, 93.91999816894531)
(505.454854321403, 94.06999969482422)
(515.4546561638678, 94.36000061035156)
(525.4549254886567, 94.30999755859375)
(535.4549723367713, 94.22000122070312)
(542.7277230203875, 93.76000213623047)
(551.8183365855372, 94.45999908447266)
(561.8183834336518, 94.5199966430664)
(570.0003922582953, 94.38999938964844)
(577.2729064591947, 94.72000122070312)
(590.0000166598822, 94.4000015258789)
(596.3638294424022, 94.62000274658203)
(607.272814191613, 94.5)
(617.272918458925, 94.73999786376953)
(624.5456117233438, 94.69000244140625)
(633.6365433728765, 94.62000274658203)
(640.9093282238671, 94.95999908447266)
(649.0913654123461, 95.0199966430664)
(659.0909966213966, 94.7699966430664)
(670.0001309902826, 94.33999633789062)
(681.818336828163, 94.69999694824219)
(689.0909096982838, 95.16999816894531)
(698.1820533286863, 95.05999755859375)
(706.3638052509709, 95.1500015258789)
(714.5457698292096, 94.83999633789062)
(723.6362832075365, 95.01000213623047)
(730.9092736737789, 95.19000244140625)
(740.0001000757161, 94.75)
(752.7271347566209, 94.4000015258789)
(759.0912365988479, 95.44000244140625)
(770.9090052049546, 95.36000061035156)
(781.8179863057055, 95.31999969482422)
(788.1818027366854, 95.30999755859375)
(798.1817675125595, 95.08000183105469)
(807.272552011258, 95.4000015258789)
(812.7270928345032, 95.44999694824219)
(821.8180549407433, 95.44000244140625)
(830.9090293944186, 94.52999877929688)
(841.8179443835877, 95.5)
(851.818178483489, 95.22000122070312)
(861.8181512737275, 95.27999877929688)
(871.8178816537835, 95.73999786376953)
(880.9090786632148, 95.66000366210938)
(889.9997019395255, 95.36000061035156)
(895.4545839331769, 95.66000366210938)
(901.8181466064236, 95.4000015258789)
(911.8180340662886, 95.38999938964844)
(924.5453674606579, 95.52999877929688)
(932.7273517620233, 95.69000244140625)
(940.9090839611812, 95.54000091552734)
(951.8181783666737, 95.31999969482422)
(961.8182252147883, 95.2699966430664)
(969.9999986524158, 95.76000213623047)
(978.1819417153117, 95.8499984741211)
(987.2726652210206, 95.69999694824219)
(993.6364647408546, 95.87000274658203)
(1001.818163633702, 95.52999877929688)
(1011.8181967430857, 95.20999908447266)
(1022.7273162899392, 95.18000030517578)
(1032.7273429595057, 95.81999969482422)
(1042.7273130200738, 95.69000244140625)
(1052.7273098030712, 95.83999633789062)
(1060.0000629743424, 95.91000366210938)
(1068.181832828614, 95.9800033569336)
(1078.1818755086235, 95.80999755859375)
(1084.5455313971504, 95.9800033569336)
(1094.545592009147, 94.93000030517578)
(1103.6364895684735, 95.5999984741211)
(1112.727412294889, 96.01000213623047)
(1122.7272188892734, 95.86000061035156)
(1133.636558511309, 95.88999938964844)
(1141.8182542505808, 95.76000213623047)
(1150.0000845256106, 95.55000305175781)
(1160.90912894273, 95.80000305175781)
(1170.000081255745, 95.98999786376953)
(1176.3638519506724, 96.0)
(1184.545458034863, 95.41999816894531)
(1194.5455512952487, 95.80999755859375)
(1203.6363327270124, 96.11000061035156)
(1214.5454271325048, 95.62000274658203)
(1221.8182047192663, 96.06999969482422)
(1230.9090665153594, 95.47000122070312)
(1240.9091954810876, 95.88999938964844)
(1249.9999708110104, 96.05999755859375)
(1257.272911981611, 95.77999877929688)
(1267.2729588297257, 95.83000183105469)
(1277.2730056778403, 95.7300033569336)
(1285.4546622507262, 95.69999694824219)
(1295.4546035669491, 95.81999969482422)
(1301.8182200998003, 95.6500015258789)
(1310.0002498425301, 95.43000030517578)
(1317.2727497248889, 95.87999725341797)
(1331.8182481375704, 96.0)
(1340.909235726322, 95.86000061035156)
(1349.0912407902401, 95.8499984741211)
(1359.0910560120642, 96.12999725341797)
(1366.3636216468233, 95.70999908447266)
(1375.4549699715037, 96.0)
(1380.9091200595049, 95.94000244140625)
