(28, 11.539999961853027)
(45, 13.350000381469727)
(58, 15.720000267028809)
(71, 19.829999923706055)
(81, 25.709999084472656)
(89, 31.969999313354492)
(104, 37.95000076293945)
(117, 42.04999923706055)
(132, 45.599998474121094)
(145, 48.65999984741211)
(155, 50.31999969482422)
(171, 52.52000045776367)
(181, 53.18000030517578)
(197, 53.560001373291016)
(209, 53.66999816894531)
(222, 54.25)
(232, 54.7599983215332)
(250, 54.630001068115234)
(263, 55.18000030517578)
(275, 55.459999084472656)
(288, 56.400001525878906)
(303, 57.66999816894531)
(315, 58.880001068115234)
(328, 60.029998779296875)
(342, 61.08000183105469)
(360, 62.560001373291016)
(371, 63.779998779296875)
(387, 65.91999816894531)
(400, 67.08000183105469)
(413, 67.80999755859375)
(426, 69.31999969482422)
(439, 70.41000366210938)
(454, 71.43000030517578)
(466, 72.62000274658203)
(477, 73.87999725341797)
(492, 74.33999633789062)
(506, 75.30999755859375)
(519, 75.94000244140625)
(533, 76.66000366210938)
(544, 77.37000274658203)
(558, 77.86000061035156)
(571, 78.51000213623047)
(583, 79.41000366210938)
(598, 79.95999908447266)
(613, 80.45999908447266)
(625, 80.80000305175781)
(636, 81.33000183105469)
(650, 81.83999633789062)
(662, 82.29000091552734)
(677, 82.41999816894531)
