(36.363542158392825, 11.670000076293945)
(54.54553888540085, 13.520000457763672)
(67.27256602890193, 15.699999809265137)
(79.09086552097762, 19.8700008392334)
(92.72740726796661, 24.90999984741211)
(102.72742463151937, 31.520000457763672)
(120.00012265106463, 36.97999954223633)
(136.36369722335343, 41.880001068115234)
(150.90895398841553, 46.0)
(167.27272109386254, 49.060001373291016)
(179.99994991107332, 51.2400016784668)
(195.4545903186671, 52.790000915527344)
(201.8182698783405, 53.13999938964844)
(222.72704245585342, 53.93000030517578)
(238.1819407925531, 54.47999954223633)
(251.81833111724478, 54.29999923706055)
(266.3635022373241, 54.31999969482422)
(280.00003034454045, 54.709999084472656)
(293.63622960864825, 55.470001220703125)
(305.4546559255271, 55.84000015258789)
(323.6364172099096, 56.400001525878906)
(339.09093970794976, 57.5)
(350.90914458123376, 59.09000015258789)
(363.6363206141296, 60.2599983215332)
(383.6361696744159, 61.439998626708984)
(398.18186939860755, 62.77000045776367)
(409.0908647122626, 64.30999755859375)
(425.45443928455137, 65.83999633789062)
(436.36357839705397, 67.43000030517578)
(455.45425814185376, 68.0999984741211)
(469.99987879189973, 69.36000061035156)
(483.63626911659145, 70.44000244140625)
(500.9089671361367, 71.55000305175781)
(510.9089873147772, 72.48999786376953)
(522.7270706932709, 73.7699966430664)
(537.2725562107121, 74.4800033569336)
(557.2726194777489, 75.19000244140625)
(572.7271419757891, 76.02999877929688)
(587.2725034846222, 76.73999786376953)
(599.090710871724, 77.68000030517578)
(608.1816595779569, 77.9000015258789)
(625.4543575975022, 78.7699966430664)
(639.9997191063353, 79.08999633789062)
(654.5452210808636, 79.9000015258789)
(671.8179191004089, 80.3499984741211)
(683.636148778602, 80.83000183105469)
(694.5452878911046, 81.5199966430664)
(709.0906403259345, 82.05000305175781)
(724.545170624975, 82.31999969482422)
(740.9088412155901, 82.66000366210938)
(755.4542027244232, 83.0199966430664)
(767.2724324026163, 83.6500015258789)
(781.8177716203581, 84.2300033569336)
(799.0905902621145, 84.5)
(809.9996408451627, 84.61000061035156)
(828.1814360165087, 84.91000366210938)
(843.6359585145489, 85.11000061035156)
(855.454188192742, 85.31999969482422)
(869.0905354205927, 85.4000015258789)
(884.5449988113144, 85.80000305175781)
(900.9086693085941, 85.76000213623047)
(913.6360661253723, 86.05000305175781)
(927.2722490439814, 86.30000305175781)
(939.9996350213072, 86.51000213623047)
(957.2723000314027, 86.5199966430664)
(970.9087648115353, 86.68000030517578)
(988.1814628310806, 86.63999938964844)
(1000.9087753770139, 87.04000091552734)
(1013.6358013702322, 87.12999725341797)
(1027.27238992829, 87.4000015258789)
(1042.7268649290013, 87.45999908447266)
(1055.454093746212, 87.58000183105469)
(1074.5451735357533, 87.66999816894531)
(1088.181563860445, 87.77999877929688)
(1101.8179541851368, 87.94000244140625)
(1114.5451830023476, 87.97000122070312)
(1127.272314667272, 88.0999984741211)
(1142.7269944819022, 88.19000244140625)
(1155.4542814566864, 88.26000213623047)
(1173.6361939693086, 88.22000122070312)
(1189.9997685415974, 88.29000091552734)
(1200.9089076541, 88.44000244140625)
(1210.9089278327406, 88.41000366210938)
(1226.3634503307808, 88.5199966430664)
(1243.636148350326, 88.62999725341797)
(1257.2725386750178, 88.68000030517578)
(1275.4542999594003, 88.62999725341797)
(1287.2725492404963, 88.80000305175781)
(1300.9088362787177, 88.97000122070312)
(1315.4541977875508, 89.0)
(1327.2724837028193, 89.0199966430664)
(1343.6361867526039, 89.0199966430664)
(1360.908930068264, 89.05999755859375)
(1372.7271597464571, 89.11000061035156)
(1386.3635372264898, 89.26000213623047)
(1400.9088818615587, 89.2699966430664)
(1418.1816179966556, 89.22000122070312)
(1429.0907571091582, 89.43000030517578)
(1443.6362374186285, 89.29000091552734)
(1461.8179474845704, 89.41999816894531)
(1474.5453389209567, 89.44999694824219)
(1486.3635878925147, 89.41000366210938)
(1503.6362774779893, 89.55000305175781)
(1518.1816389868225, 89.52999877929688)
(1531.8180020294387, 89.54000091552734)
(1543.6362758209063, 89.5199966430664)
(1558.1816011506, 89.55999755859375)
(1574.5453525033247, 89.7300033569336)
(1589.0907166589939, 89.54000091552734)
(1602.7271069836856, 89.62000274658203)
(1617.2724957260302, 89.75)
(1629.9998403298518, 89.72000122070312)
(1643.6362312594638, 89.7300033569336)
(1658.1816294440814, 89.7699966430664)
(1671.8180197687732, 89.80000305175781)
(1687.2725765798561, 89.97000122070312)
(1704.5452745994014, 89.94000244140625)
(1716.3634645515492, 89.98999786376953)
(1727.2726036640518, 90.08000183105469)
(1742.7270442869365, 90.06999969482422)
(1756.3635422210843, 89.9800033569336)
(1772.72718547585, 90.05999755859375)
(1789.0906978436346, 90.2300033569336)
(1801.8179266608454, 90.26000213623047)
(1814.5452750278375, 90.16999816894531)
(1827.272552241832, 90.2300033569336)
(1840.908991959355, 90.27999877929688)
(1856.3635144573952, 90.31999969482422)
(1875.4545407438331, 90.3499984741211)
(1886.3635250228738, 90.31999969482422)
(1897.2727128836561, 90.37999725341797)
(1911.8181506038604, 90.37999725341797)
(1926.3636220682188, 90.43000030517578)
(1942.7271966405076, 90.44999694824219)
(1955.4545606252514, 90.44000244140625)
(1969.0907655364426, 90.44999694824219)
(1983.636429850056, 90.41999816894531)
(1997.2726501772388, 90.4800033569336)
(2011.8182815495525, 90.45999908447266)
(2024.5454827404326, 90.5199966430664)
(2040.909034940921, 90.47000122070312)
(2055.4543178626936, 90.52999877929688)
(2069.0909992661486, 90.55999755859375)
(2083.636370016991, 90.55000305175781)
(2097.2729116584164, 90.58999633789062)
