(96.36359061762703, 11.59000015258789)
(190.90909553279602, 13.329999923706055)
(290.90912649938343, 16.209999084472656)
(389.0909566300157, 19.3700008392334)
(486.3637824250839, 23.1299991607666)
(586.3638133916713, 30.06999969482422)
(685.4546256034081, 35.060001373291016)
(785.4546565699954, 40.7599983215332)
(877.2728829376541, 45.880001068115234)
(974.5457087327223, 48.810001373291016)
(1074.5457396993097, 51.349998474121094)
(1171.818565494378, 52.90999984741211)
(1271.8185964609654, 53.689998626708984)
(1371.8186274275529, 53.9900016784668)
(1464.5459335705823, 54.439998626708984)
(1562.7277637012146, 54.560001373291016)
(1661.8185759129515, 54.47999954223633)
(1761.818606879539, 54.599998474121094)
(1856.364111794708, 55.099998474121094)
(1954.5459419253402, 55.84000015258789)
(2052.7277720559723, 57.029998779296875)
(2152.72780302256, 57.88999938964844)
(2252.7278339891473, 59.540000915527344)
(2348.182387576317, 60.97999954223633)
(2441.8188344971963, 62.91999816894531)
(2540.909646708933, 64.2699966430664)
(2640.9096776755205, 65.66999816894531)
(2740.000489887257, 67.1500015258789)
(2838.182320017889, 68.6500015258789)
(2937.273132229626, 69.95999908447266)
(3035.454962360258, 71.05000305175781)
(3135.4549933268454, 71.9000015258789)
(3235.455024293433, 73.16999816894531)
(3322.7278179991054, 74.33999633789062)
(3420.000643794174, 74.76000213623047)
(3513.637090715053, 75.8499984741211)
(3607.2735376359324, 76.55000305175781)
(3705.4553677665644, 77.06999969482422)
(3805.455398733152, 78.33999633789062)
(3904.5462109448886, 79.04000091552734)
(4004.546241911476, 79.87000274658203)
(4104.546272878063, 80.08999633789062)
(4202.728103008695, 80.69000244140625)
(4301.818915220432, 80.9800033569336)
(4400.000745351064, 81.7300033569336)
(4500.000776317652, 82.2699966430664)
(4600.000807284239, 82.55000305175781)
(4700.000838250827, 83.45999908447266)
(4800.000869217414, 84.0)
(4897.273695012483, 83.97000122070312)
(4991.819199927651, 84.55000305175781)
(5090.0010300582835, 84.80999755859375)
(5182.728336201313, 85.30999755859375)
(5282.728367167901, 85.41000366210938)
(5381.819179379638, 85.62999725341797)
(5477.273732966808, 85.9000015258789)
(5575.45556309744, 86.0)
(5670.001068012609, 86.2699966430664)
(5770.001098979196, 86.33999633789062)
(5870.001129945784, 86.56999969482422)
(5970.001160912371, 86.56999969482422)
(6070.001191878959, 86.80000305175781)
(6169.092004090696, 87.23999786376953)
(6264.546557677866, 87.12000274658203)
(6363.637369889603, 87.23999786376953)
(6462.72818210134, 87.4000015258789)
(6562.728213067928, 87.44000244140625)
(6661.819025279665, 87.69000244140625)
(6757.273578866835, 87.88999938964844)
(6857.273609833423, 87.8499984741211)
(6956.36442204516, 87.94000244140625)
(7056.364453011747, 88.22000122070312)
